,Supplier,OrderNo,ItemNo,ItemDescription,ItemCost,Quantity,CostPerOrder,APTerms,OrderDate,ArrivalDate,DeliveryTime,DeliveryTimeClassification
43,Pylon Accessories,Sep11030,9764,Gasket,$3.75,"""1,850""","""$6,937.50 """,15,09/25/11,10/5/11,10 days,long
44,Durrable Products,Sep11031,1369,Airframe fasteners,$4.20,"""14,000""","""$58,800.00 """,45,09/27/11,10/3/11,6 days,medium
45,Hulkey Fasteners,Sep11032,1122,Airframe fasteners,$4.25,"""14,500""","""$61,625.00 """,30,09/28/11,10/3/11,5 days,medium
46,Pylon Accessories,Sep11033,9764,Gasket,$3.75,"""1,800""","""$6,750.00 """,15,09/28/11,10/5/11,7 days,medium
47,Durrable Products,Sep11034,1369,Airframe fasteners,$4.20,"""10,000""","""$42,000.00 """,45,09/29/11,10/4/11,5 days,medium
48,Spacetime Technologies,Oct11001,5125,Shielded Cable/ft.,$1.15,"""15,000""","""$17,250.00 """,25,10/1/11,10/15/11,14 days,long
49,Durrable Products,Oct11002,9399,Gasket,$3.65,"""1,250""","""$4,562.50 """,45,10/1/11,10/6/11,5 days,medium
50,Manley Valve,Oct11003,6431,O-Ring,$2.85,"""1,350""","""$3,847.50 """,30,10/1/11,10/7/11,6 days,medium
51,Pylon Accessories,Oct11004,6433,O-Ring,$2.95,"""1,500""","""$4,425.00 """,15,10/1/11,10/10/11,9 days,medium
52,Fast-Tie Aerospace,Oct11005,5166,Electrical Connector,$1.25,"""5,650""","""$7,062.50 """,30,10/1/11,10/6/11,5 days,medium
53,Hulkey Fasteners,Oct11006,1122,Airframe fasteners,$4.25,"""18,000""","""$76,500.00 """,30,10/1/11,10/8/11,7 days,medium
54,Durrable Products,Oct11007,9399,Gasket,$3.65,"""1,450""","""$5,292.50 """,45,10/3/11,10/8/11,5 days,medium
55,Spacetime Technologies,Oct11008,6489,O-Ring,$3.00,"""1,100""","""$3,300.00 """,25,10/5/11,10/10/11,5 days,medium
56,Durrable Products,Oct11009,9399,Gasket,$3.65,"""1,985""","""$7,245.25 """,45,10/5/11,10/11/11,6 days,medium
57,Spacetime Technologies,Oct11010,4111,Bolt-nut package,$3.55,"""4,600""","""$16,330.00 """,25,10/5/11,10/19/11,14 days,long
58,Durrable Products,Oct11011,4569,Bolt-nut package,$3.50,"""3,900""","""$13,650.00 """,45,10/5/11,10/10/11,5 days,medium
59,Manley Valve,Oct11012,6431,O-Ring,$2.85,"""1,250""","""$3,562.50 """,30,10/5/11,10/10/11,5 days,medium
60,Durrable Products,Oct11013,9399,Gasket,$3.65,"""1,470""","""$5,365.50 """,45,10/7/11,10/12/11,5 days,medium
61,Durrable Products,Oct11014,5454,Control Panel,$220.00,550,"""$121,000.00 """,45,10/9/11,10/14/11,5 days,medium
62,Spacetime Technologies,Oct11015,6489,O-Ring,$3.00,900,"""$2,700.00 """,25,10/10/11,10/18/11,8 days,medium
63,Alum Sheeting,Oct11016,1243,Airframe fasteners,$4.25,"""10,500""","""$44,625.00 """,30,10/10/11,10/17/11,7 days,medium
64,Steelpin Inc.,Oct11017,8008,Machined Valve,$645.00,100,"""$64,500.00 """,30,10/10/11,10/21/11,11 days,long
65,Manley Valve,Oct11018,7258,Pressure Gauge,$100.50,90,"""$9,045.00 """,30,10/10/11,10/17/11,7 days,medium
66,Manley Valve,Oct11019,8148,Machined Valve,$655.50,125,"""$81,937.50 """,30,10/10/11,10/17/11,7 days,medium
67,Hulkey Fasteners,Oct11020,1122,Airframe fasteners,$4.25,"""17,000""","""$72,250.00 """,30,10/11/11,10/19/11,8 days,medium
68,Fast-Tie Aerospace,Oct11021,6321,O-Ring,$2.45,"""1,250""","""$3,062.50 """,30,10/12/11,10/21/11,9 days,medium
69,Alum Sheeting,Oct11022,4224,Bolt-nut package,$3.95,"""4,500""","""$17,775.00 """,30,10/15/11,10/20/11,5 days,medium
70,Durrable Products,Oct11023,5454,Control Panel,$220.00,500,"""$110,000.00 """,45,10/15/11,10/20/11,5 days,medium
71,Manley Valve,Oct11024,7258,Pressure Gauge,$100.50,100,"""$10,050.00 """,30,10/15/11,10/24/11,9 days,medium
72,Steelpin Inc.,Oct11025,8008,Machined Valve,$645.00,150,"""$96,750.00 """,30,10/15/11,10/26/11,11 days,long
73,Alum Sheeting,Oct11026,5417,Control Panel,$255.00,500,"""$127,500.00 """,30,10/20/11,10/27/11,7 days,medium
74,Manley Valve,Oct11027,7258,Pressure Gauge,$100.50,95,"""$9,547.50 """,30,10/20/11,10/29/11,9 days,medium
75,Alum Sheeting,Oct11028,5634,Side Panel,$185.00,150,"""$27,750.00 """,30,10/25/11,11/3/11,9 days,medium
76,Durrable Products,Oct11029,5275,Shielded Cable/ft.,$1.00,"""25,000""","""$25,000.00 """,45,10/25/11,10/30/11,5 days,medium
77,Fast-Tie Aerospace,Oct11030,6321,O-Ring,$2.45,"""1,500""","""$3,675.00 """,30,10/25/11,11/2/11,8 days,medium
78,Fast-Tie Aerospace,Oct11031,5689,Side Panel,$175.00,155,"""$27,125.00 """,30,10/25/11,11/3/11,9 days,medium
79,Hulkey Fasteners,Oct11032,1122,Airframe fasteners,$4.25,"""17,500""","""$74,375.00 """,30,10/25/11,11/3/11,9 days,medium
80,Steelpin Inc.,Oct11033,5677,Side Panel,$195.00,130,"""$25,350.00 """,30,10/28/11,11/7/11,10 days,long
81,Steelpin Inc.,Oct11034,8008,Machined Valve,$645.00,120,"""$77,400.00 """,30,10/28/11,11/4/11,7 days,medium
82,Spacetime Technologies,Oct11035,6489,O-Ring,$3.00,"""1,050""","""$3,150.00 """,25,10/29/11,11/10/11,12 days,long
83,Alum Sheeting,Oct11036,5634,Side Panel,$185.00,140,"""$25,900.00 """,30,10/29/11,11/4/11,6 days,medium
84,Manley Valve,Nov11001,9977,Panel Decal,$1.00,525,$525.00,30,11/1/11,11/7/11,6 days,medium
85,Manley Valve,Nov11002,9955,Door Decal,$0.55,150,$82.50,30,11/1/11,11/6/11,5 days,medium
86,Fast-Tie Aerospace,Nov11003,5689,Side Panel,$175.00,150,"""$26,250.00 """,30,11/1/11,11/9/11,8 days,medium
87,Fast-Tie Aerospace,Nov11004,7268,Pressure Gauge,$95.00,110,"""$10,450.00 """,30,11/1/11,11/12/11,11 days,long
88,Steelpin Inc.,Nov11005,5677,Side Panel,$195.00,120,"""$23,400.00 """,30,11/2/11,11/13/11,11 days,long
89,Manley Valve,Nov11006,9967,Hatch Decal,$0.85,550,$467.50,30,11/5/11,11/11/11,6 days,medium
90,Fast-Tie Aerospace,Nov11007,7268,Pressure Gauge,$95.00,105,"""$9,975.00 """,30,11/5/11,11/16/11,11 days,long
91,Fast-Tie Aerospace,Nov11008,5689,Side Panel,$175.00,175,"""$30,625.00 """,30,11/5/11,11/15/11,10 days,long
92,Steelpin Inc.,Nov11009,5677,Side Panel,$195.00,110,"""$21,450.00 """,30,11/5/11,11/17/11,12 days,long
93,Manley Valve,Nov11010,9955,Door Decal,$0.55,125,$68.75,30,11/5/11,11/10/11,5 days,medium
